,label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,time
280,3,362.0,487.085635359116,668.5801104972376,479,657,497,688,29
281,1,384.0,31.890625,291.3020833333333,21,279,41,305,30
282,2,410.0,91.77804878048781,130.73658536585367,80,120,103,142,30
283,3,529.0,479.9716446124764,745.6672967863894,467,732,496,760,30
284,4,167.0,483.7065868263473,698.2874251497007,476,692,493,705,30
285,5,334.0,493.6646706586826,656.2664670658683,485,646,505,668,30
286,6,332.0,518.9487951807229,737.4819277108434,511,726,531,753,30
287,7,243.0,545.5843621399177,212.6954732510288,538,200,552,224,30
288,1,423.0,430.54373522458627,469.60283687943263,420,456,443,482,31
289,2,354.0,461.08474576271186,249.68926553672316,450,240,475,260,31
290,3,247.0,528.6234817813765,534.82995951417,519,528,538,545,31
291,4,442.0,562.0656108597285,140.7443438914027,547,132,579,152,31
292,1,339.0,9.964601769911505,77.0,0,68,21,91,32
293,2,226.0,21.924778761061948,318.42477876106193,14,311,32,329,32
294,3,215.0,35.87906976744186,135.29302325581395,29,127,44,146,32
295,4,217.0,223.1336405529954,148.3548387096774,215,140,231,159,32
296,5,446.0,406.5919282511211,724.0269058295964,395,712,420,736,32
297,6,272.0,426.4227941176471,719.7573529411765,418,711,438,731,32
298,7,235.0,507.11489361702127,714.0468085106382,502,699,513,728,32
299,8,380.0,572.5710526315789,733.6026315789474,563,719,580,749,32
300,1,316.0,86.5379746835443,325.69303797468353,78,315,97,337,33
301,2,398.0,89.00753768844221,365.7788944723618,78,354,102,382,33
302,3,687.0,421.97671033478895,215.97816593886463,406,202,440,231,33
303,4,260.0,431.5153846153846,718.4423076923077,421,711,441,728,33
304,5,462.0,455.54112554112555,663.7294372294373,442,652,471,676,33
305,6,201.0,541.9004975124378,374.0845771144279,532,367,551,382,33
306,7,318.0,543.8144654088051,702.0817610062893,536,690,553,713,33
307,1,653.0,8.392036753445636,75.59571209800919,0,58,22,101,34
308,2,447.0,433.04250559284117,620.9552572706936,423,607,445,634,34
309,3,240.0,469.2291666666667,245.87916666666666,459,239,480,256,34
310,4,337.0,526.9643916913947,617.2462908011869,515,606,540,629,34
311,5,234.0,535.2777777777778,687.8205128205128,526,681,546,696,34
312,6,393.0,559.0890585241731,713.5572519083969,550,701,570,730,34
313,1,309.0,39.25242718446602,719.789644012945,31,709,48,733,35
314,2,263.0,281.8897338403042,207.53231939163499,273,199,292,217,35
315,3,528.0,462.3314393939394,607.5871212121212,449,596,481,621,35
316,4,175.0,486.16,367.2114285714286,480,361,495,376,35
317,5,170.0,491.7,67.90588235294118,488,56,498,80,35
318,6,309.0,565.6116504854369,141.62135922330097,556,133,580,153,35
319,1,471.0,155.28662420382165,435.6284501061571,143,422,168,449,36
320,2,950.0,333.6378947368421,240.7842105263158,322,218,348,269,36
321,3,262.0,348.40458015267177,684.1984732824427,336,677,360,693,36
322,4,290.0,358.49655172413793,772.0172413793103,347,762,369,780,36
323,5,241.0,374.0746887966805,594.0622406639004,365,584,384,604,36
324,6,325.0,395.16923076923075,624.636923076923,384,615,408,636,36
325,7,372.0,401.991935483871,771.8413978494624,389,763,416,780,36
326,8,347.0,469.9942363112392,756.0028818443805,459,743,481,769,36
327,9,317.0,476.22397476340694,640.6940063091482,465,632,490,652,36
328,10,327.0,487.9235474006116,650.82874617737,479,639,497,665,36
329,11,295.0,499.3322033898305,662.8101694915255,487,654,512,673,36
330,12,317.0,507.0410094637224,684.4763406940064,495,676,521,695,36
331,13,440.0,524.6772727272727,751.3272727272728,512,741,539,761,36
332,14,414.0,536.9806763285025,377.9009661835749,519,369,552,388,36
333,15,189.0,529.1957671957672,212.05820105820106,520,205,538,220,36
334,16,209.0,564.9856459330143,754.6746411483253,556,748,576,761,36
335,1,1003.0,270.0089730807577,275.53639082751744,254,256,288,297,37
336,2,376.0,409.1675531914894,772.563829787234,392,764,424,780,37
337,3,357.0,436.5182072829132,618.2801120448179,426,606,448,630,37
338,4,253.0,446.9683794466403,174.17786561264822,437,167,457,183,37
339,5,146.0,447.85616438356163,683.7054794520548,440,679,457,690,37
340,6,227.0,468.726872246696,443.75770925110135,463,433,478,456,37
341,7,93.0,467.3440860215054,733.0537634408602,463,727,472,740,37
342,8,154.0,520.3246753246754,67.43506493506493,512,63,530,73,37
343,1,344.0,364.2325581395349,390.2906976744186,355,380,375,401,38
344,2,376.0,401.5904255319149,773.9574468085107,385,767,423,780,38
345,3,474.0,425.59915611814347,593.126582278481,416,578,437,610,38
346,4,175.0,457.86285714285714,688.4057142857143,451,680,465,697,38
347,5,489.0,470.39059304703477,613.6421267893661,458,601,482,629,38
348,6,331.0,505.6827794561934,599.2628398791541,496,591,517,610,38
349,7,260.0,523.0730769230769,586.4615384615385,511,579,534,596,38
350,8,168.0,522.5357142857143,239.14880952380952,515,229,529,248,38
351,9,169.0,546.8343195266273,430.68639053254435,541,422,553,442,38
352,10,115.0,547.4521739130435,558.6782608695652,544,548,552,568,38
353,11,246.0,564.6341463414634,143.109756097561,556,135,578,154,38
354,1,238.0,58.15546218487395,122.75630252100841,50,114,69,133,39
355,2,440.0,217.92954545454546,390.35,209,375,229,406,39
356,3,205.0,219.50731707317073,56.21463414634146,216,40,225,73,39
357,4,245.0,247.9142857142857,189.44489795918366,241,178,257,200,39
358,5,754.0,329.19363395225463,247.50397877984085,312,230,347,262,39
359,6,344.0,423.18023255813955,668.203488372093,415,656,434,680,39
360,7,387.0,487.7906976744186,252.11111111111111,479,240,497,265,39
361,8,124.0,523.4677419354839,687.4112903225806,520,679,528,696,39
362,9,145.0,540.351724137931,247.08275862068965,535,240,548,256,39
363,10,297.0,551.8956228956229,224.986531986532,541,216,563,234,39
364,11,154.0,548.025974025974,679.4285714285714,543,671,554,689,39
365,1,327.0,184.55963302752295,537.4923547400612,176,524,194,551,40
366,2,275.0,446.99636363636364,647.6836363636363,437,640,456,658,40
367,3,385.0,471.8077922077922,577.8337662337663,462,567,481,593,40
368,4,221.0,471.68325791855204,693.5113122171946,464,686,481,703,40
369,5,349.0,517.1747851002865,635.7736389684814,511,621,527,652,40
370,6,251.0,537.8207171314741,719.3585657370518,528,712,551,727,40
371,7,191.0,537.6439790575917,757.9057591623036,528,751,546,767,40
372,8,238.0,558.1218487394958,743.8865546218487,551,734,568,754,40
373,1,589.0,71.66044142614601,194.70458404074702,47,183,90,205,41
374,2,399.0,392.30827067669173,690.8496240601504,383,678,403,704,41
375,3,335.0,436.7283582089552,391.96417910447764,424,383,449,400,41
376,4,316.0,494.873417721519,768.1139240506329,483,760,505,780,41
377,5,235.0,512.5148936170212,743.7276595744681,504,735,520,753,41
378,6,322.0,534.9968944099379,647.1149068322982,523,636,545,657,41
379,7,291.0,535.8247422680413,718.9965635738831,526,711,547,729,41
380,8,302.0,539.566225165563,675.3609271523179,533,663,548,689,41
381,1,314.0,91.13057324840764,319.0987261146497,80,312,103,328,42
382,2,341.0,551.4369501466275,223.9560117302053,542,213,563,235,42
383,3,278.0,573.1546762589928,348.75539568345323,565,338,580,362,42
384,1,438.0,10.408675799086758,84.95433789954338,0,72,24,98,43
385,2,621.0,441.93075684380034,397.66505636070855,427,384,457,414,43
386,3,217.0,444.70506912442397,452.3640552995392,435,446,455,462,43
387,4,380.0,446.2605263157895,422.9789473684211,438,409,456,436,43
